idservicio;servicio;torre
0;No informado;No informado
1;ACTIVE DIRECTORY OSS;INFRA
2;AEROHIVE;BSS
3;ALARM SYSTEM;TICKETING TOOL
4;ALCHEMY;No informado
5;ALCHEMY;OSS
6;API CONNECT;BSS
7;API GATEWAY;BSS
8;ARAMIS;BSS
9;ARIS - MAPRO;INFRA
10;AURIGA CONNECT;ESS
11;AURIGA CONNECT;INFRA
12;AUTOCOTIZADOR CARRIER MAYORISTA;BSS
13;AUTOCOTIZADOR CARRIER MAYORISTA;No informado
14;BART;ESS
15;BI_EN;BSS
16;BI_EN_TNA;BSS
17;CHRONOS;ESS
18;CISCO - NSO TAIL-F;OSS
19;CISCO PRIME WIFI;OSS
20;CISCO SSM SATELLITE;INFRA
21;CLOUD4U (VM2U);INFRA
22;COMSEC;INFRA
23;CONCILIATION TOOL;BSS
24;CONTROL M;INFRA
25;CORPORATE EMAIL;ESS
26;CORPORATE EMAIL;No informado
27;CROSS;ESS
28;CUSTOMER WEB PORTAL;BSS
29;DATAWAREHOUSE-POWERCENTER-BO;BSS
30;DATAWAREHOUSE-POWERCENTER-BO;No informado
31;DEVOPS;OSS
32;DHCP GLOBAL LAN/DHCP;INFRA
33;DNS;INFRA
34;DNS;IT
35;DNS;OSS
36;DNS GESTION + IPX + STI;INFRA
37;DNS GRX;INFRA
38;DUNA;BSS
39;DUNA;ESS
40;DUNA;No informado
41;ESB (JBOSS-FUSE);BSS
42;FACEBOOK WORKPLACE;ESS
43;FAST;BSS
44;FAST (TOMS + MANO);BSS
45;FAST ORDERING (TOMS);Application
46;FAST ORDERING (TOMS);Application Service
47;FAST ORDERING (TOMS);BSS
48;FAST ORDERING (TOMS);INFRA
49;FAST ORDERING (TOMS);No informado
50;FAST ORDERING (TOMS);OSS
51;FAST ORDERING (TOMS);Software Application/System
52;FAST ORDERING (TOMS);Unknown
53;FAST RBM;BSS
54;FAST RBM;No informado
55;FAST VIRTUAL SERVICES (MANO);BSS
56;FAST VIRTUAL SERVICES (MANO);OSS
57;FIRMA ELECTRONICA;BSS
58;FORTIPORTAL;INFRA
59;GENERAL SERVICES;SERVICIOS GENERALES
60;GLOBAL CTI;ESS
61;GLOBAL CTI;No informado
62;GLOBAL PRICING TOOL;BSS
63;GLOBAL SAP;ESS
64;GLOBAL SAP;No informado
65;HERMES;OSS
66;HORIZON VIEW (VDI);INFRA
67;INFINITY;BSS
68;INFINITY - SALESFORCE;BSS
69;INFOBLOX;INFRA
70;INFRASTRUCTURE CROSS;OSS
71;INFRASTRUCTURE CROSS CHANGE;INFRA
72;INFRASTRUCTURE CROSS SYSTEM;INFRA
73;INFRASTRUCTURE CROSS SYSTEM;Network
74;INFRASTRUCTURE CROSS SYSTEM;No informado
75;INFRASTRUCTURE CROSS SYSTEM;OSS
76;IT CMDB;INFRA
77;iTELEPHONY;ESS
78;LDAP;INFRA
79;LDAP GESTION + XDSL;INFRA
80;LOGOS;ESS
81;MAQUINA DE SALTO;No informado
82;MAQUINA DE SALTO;OSS
83;MEETING CALL;ESS
84;MERAKI;INFRA
85;MERAKI;No informado
86;MICROFOCUS UFT;OSS
87;MONITORING SYSTEM;INFRA
88;MRR;BSS
89;NETROUNDS;OSS
90;NIFI;OSS
91;NNMI;OSS
92;No informado;Application
93;No informado;BSS
94;No informado;Card
95;No informado;ESS
96;No informado;INFRA
97;No informado;OSS
98;No informado;SERVICIOS GENERALES
99;No informado;Unknown
100;NSIM;No informado
101;NSIM;OSS
102;NSN REPORT FTP;INFRA
103;OFFICE 365;ESS
104;OFFICE 365;No informado
105;OMI CLIENTES;OSS
106;OMI PLATAFORMAS;INFRA
107;OMI PLATAFORMAS;Network
108;OMI PLATAFORMAS;OSS
109;OMI RED;OSS
110;ONEDRIVE;ESS
111;OPERATIONS ORCHESTRATOR;OSS
112;OSS PROVISION;OSS
113;PANGEA;BSS
114;PANGEA;No informado
115;PANGEA;OSS
116;PCA;BSS
117;PCA;OSS
118;PCPA;SERVICE CENTERS
119;PRIME;INFRA
120;PRIME;No informado
121;PROVIDER MANAGEMENT;ESS
122;PROXY INVERSO;INFRA
123;PROXY WEB ZSCALER;ESS
124;QUALITY TABLEAU;BSS
125;RACKTABLES;Hardware
126;RACKTABLES;INFRA
127;RADIUS XDSL + IPSEC + BGAN;SERVICE CENTERS
128;REMEDY ON DEMAND;Application
129;REMEDY ON DEMAND;BSS
130;REMEDY ON DEMAND;INFRA
131;REMEDY ON DEMAND;No informado
132;REMEDY ON DEMAND;Processing unit
133;REMEDY ON DEMAND;TICKETING TOOL
134;ROUTE EXPLORER (REX);No informado
135;ROUTE EXPLORER (REX);OSS
136;SALVAGUARDA CONFIGURACIONES;INFRA
137;SAP AMERICA;BSS
138;SECOPS;INFRA
139;SECURITY INCIDENT;SEGURIDAD
140;SECURITY INCIDENT;Software Application/System
141;SEDA PORTAL;BSS
142;SERVICIOS DE BACKUP;INFRA
143;SERVIWEB OSS;INFRA
144;SMC TOOLS;TICKETING TOOL
145;SOLARWINDS;No informado
146;SOLARWINDS;OSS
147;SPLUNK;BSS
148;SPLUNK;ESS
149;SPLUNK;INFRA
150;SUGUS;BSS
151;SUGUS;ESS
152;SUGUS;No informado
153;SYSLOG;INFRA
154;TABLEAU;BSS
155;TABLEAU;Instance
156;TABLEAU;No informado
157;TACACS AAA;INFRA
158;TACACS AAA;No informado
159;TEAMS;ESS
160;TECHNOWIKI;OSS
161;TEFGAD-GLOBAL ACTIVE DIRECTORY;INFRA
162;TELARIX;BSS
163;TELARIX;No informado
164;TELESAP;BSS
165;TRAFUL;BSS
166;TRAFUL-SPLUNK;OSS
167;VITA;OSS
168;vMANAGE;INFRA
169;vMANAGE;No informado
170;VPN;INFRA
171;VPN CONNECT;Component
172;VPN CONNECT;INFRA
173;VPN CONNECT;No informado
174;VSAT/ DESCARGA DE CONFIGURACIONES;INFRA
175;WORKPLACE;ESS
176;WORKPLACE;No informado
177;WORKPLACE;Software Application/System
178;WORKPLACE;TICKETING TOOL
