fechacreacion;numeroincidente;duraciondias;idservicio;idtipodeservicio;identorno;idprioridad;idestado
2020-01-15;INC002000000013;0.0928935;39;1;2;4;9
2020-01-15;INC002000000014;0.0883681;165;1;2;2;9
2020-01-15;INC002000000016;98.6592;103;1;2;4;10
2020-01-15;INC002000000017;19.6154;15;2;1;1;11
2020-01-15;INC002000000018;7.61502;17;2;2;2;9
2020-01-15;INC002000000019;56.6135;103;1;2;4;10
2020-01-15;INC002000000022;55.1429;165;2;2;1;10
2020-01-15;INC002000000023;7.89809;63;1;2;4;9
2020-01-15;INC002000000024;14.6019;175;1;2;4;10
2020-01-15;INC002000000025;9.59921;68;2;2;4;9
2020-01-15;INC002000000027;49.5953;103;2;2;4;10
2020-01-15;INC002000000032;9.58278;25;1;2;4;9
2020-01-15;INC002000000033;9.58197;25;1;2;4;9
2020-01-15;INC002000000034;9.58132;25;1;2;4;9
2020-01-15;INC002000000035;9.58067;25;1;2;4;10
2020-01-15;INC002000000036;9.58021;25;1;2;4;9
2020-01-15;INC002000000037;7.57689;80;2;2;1;9
2020-01-15;INC002000000038;12.5765;25;1;2;4;10
2020-01-15;INC002000000040;12.5758;15;2;2;1;10
2020-01-15;INC002000000045;7.56545;103;1;2;4;10
2020-01-15;INC002000000046;9.56513;110;2;2;1;10
2020-01-15;INC002000000047;12.5598;25;1;2;4;10
2020-01-15;INC002000000049;12.5423;25;1;2;4;10
2020-01-15;INC002000000052;12.5414;25;1;2;4;10
2020-01-15;INC002000000053;8.54073;110;2;2;1;10
2020-01-15;INC002000000054;8.51818;164;1;2;1;9
2020-01-15;INC002000000056;7.48707;68;2;2;1;9
2020-01-15;INC002000000060;8.45914;165;2;2;1;9
2020-01-15;INC002000000061;8.4492;129;2;2;1;10
2020-01-15;INC002000000062;8.43302;101;2;2;2;9
2020-01-15;INC002000000063;9.43536;68;1;2;1;10
2020-01-15;INC002000000064;8.43146;146;1;2;1;9
2020-01-15;INC002000000065;7.43037;129;1;2;4;9
2020-01-15;INC002000000069;210.435;15;2;2;2;10
2020-01-15;INC002000000070;19.4017;98;1;2;4;9
2020-01-15;INC002000000072;12.3901;25;1;2;4;10
2020-01-15;INC002000000073;12.3895;25;1;2;4;10
2020-01-15;INC002000000076;8.37933;150;1;2;1;9
2020-01-15;INC002000000079;8.34726;68;2;2;1;10
2020-01-15;INC002000000080;8.35244;175;1;2;4;10
2020-01-15;INC002000000084;29.3319;15;1;2;1;10
2020-01-15;INC002000000086;13.2059;175;1;2;4;10
2020-01-16;INC002000000088;9.10712;146;1;2;2;9
2020-01-16;INC002000000089;8.75893;103;2;2;4;9
2020-01-16;INC002000000090;7.75314;154;2;2;1;10
2020-01-16;INC002000000092;7.70851;103;2;2;4;10
2020-01-16;INC002000000096;14.6542;175;1;2;4;10
2020-01-16;INC002000000097;14.6525;175;1;2;4;10
2020-01-16;INC002000000098;12.6473;33;1;2;4;10
2020-01-16;INC002000000099;11.6418;129;2;2;1;10
2020-01-15;INC002000000117;7.59546;39;2;2;4;9
2020-01-15;INC002000000118;7.59672;68;1;2;4;9
2020-01-15;INC002000000120;7.59146;39;1;2;1;9
2020-01-15;INC002000000121;7.58708;175;1;2;4;10
2020-01-15;INC002000000127;7.49957;175;1;2;4;9
2020-01-15;INC002000000128;19.4976;14;1;2;4;10
2020-01-15;INC002000000131;8.43328;146;1;2;2;9
2020-01-15;INC002000000133;4.68171;108;2;2;1;9
2020-01-15;INC002000000138;0.844803;29;2;2;2;10
2020-01-15;INC002000000140;15.3676;39;1;2;4;9
2020-01-15;INC002000000141;8.36375;103;2;2;4;10
2020-01-16;INC002000000147;14.7052;162;1;2;4;9
2020-01-16;INC002000000148;7.69044;154;1;2;1;9
2020-01-16;INC002000000149;7.68804;175;2;2;4;10
2020-01-16;INC002000000153;14.6717;15;1;2;2;9
2020-01-16;INC002000000154;8.66513;103;2;2;2;10
2020-01-16;INC002000000156;14.6507;162;2;2;4;10
2020-01-16;INC002000000158;194.67;68;2;2;4;10
2020-01-16;INC002000000160;7.58934;25;2;2;1;9
2020-01-16;INC002000000161;46.5709;135;2;2;1;10
2020-01-16;INC002000000162;7.55473;129;1;2;1;9
2020-01-16;INC002000000163;7.55082;168;1;2;1;9
2020-01-16;INC002000000165;11.4863;47;1;2;4;9
2020-01-16;INC002000000166;18.4666;39;2;2;1;10
2020-01-16;INC002000000167;14.4616;39;2;2;1;10
2020-01-16;INC002000000168;20.4453;41;2;2;4;10
2020-01-16;INC002000000170;7.44208;175;1;2;2;10
2020-01-16;INC002000000171;12.4295;68;2;2;2;10
2020-01-16;INC002000000172;14.4261;141;1;2;4;10
2020-01-16;INC002000000173;11.9808;63;2;2;1;10
2020-01-16;INC002000000174;11.4245;129;2;2;1;9
2020-01-16;INC002000000176;14.4178;39;2;2;4;10
2020-01-16;INC002000000177;8.4125;129;1;2;4;9
2020-01-16;INC002000000178;8.41238;154;1;2;2;9
2020-01-16;INC002000000179;7.40088;175;1;2;4;10
2020-01-16;INC002000000182;7.38106;175;1;2;4;10
2020-01-16;INC002000000184;8.36172;150;1;1;1;11
2020-01-17;INC002000000186;9.08663;175;1;2;1;9
2020-01-17;INC002000000187;18.7421;44;1;2;4;10
2020-01-17;INC002000000188;7.74466;175;1;2;4;10
2020-01-17;INC002000000189;18.7394;47;1;2;4;10
2020-01-17;INC002000000190;19.7374;47;1;2;4;10
2020-01-17;INC002000000191;21.7347;47;1;2;4;10
2020-01-17;INC002000000192;7.71609;68;1;2;1;9
2020-01-17;INC002000000193;9.71049;87;2;2;2;9
2020-01-17;INC002000000194;12.706;175;1;2;4;9
2020-01-17;INC002000000195;7.69826;103;2;2;4;10
2020-01-17;INC002000000196;7.69751;103;2;2;4;10
2020-01-17;INC002000000197;11.695;129;1;2;4;10
2020-01-17;INC002000000198;6.09757;63;2;2;1;10
2020-01-15;INC002000000201;13.4589;175;1;2;2;10
2020-01-16;INC002000000203;8.34478;129;1;2;4;10
2020-01-16;INC002000000204;97.3857;129;1;2;4;10
2020-01-17;INC002000000205;7.74534;25;2;2;4;9
2020-01-17;INC002000000220;7.63558;150;1;2;1;9
2020-01-17;INC002000000221;7.6335;175;1;2;4;10
2020-01-17;INC002000000222;12.5835;129;2;2;1;10
2020-01-17;INC002000000224;11.571;129;2;2;1;10
2020-01-17;INC002000000225;19.5696;108;2;2;4;10
2020-01-17;INC002000000229;2.84494;63;2;2;1;10
2020-01-17;INC002000000230;40.564;47;2;2;1;10
2020-01-17;INC002000000231;13.5633;108;2;2;4;10
2020-01-17;INC002000000239;20.5376;129;1;2;1;10
2020-01-17;INC002000000240;2.89148;63;1;2;4;10
2020-01-21;INC002000000256;7.68316;129;1;2;4;10
2020-01-21;INC002000000257;7.68177;68;1;2;4;10
2020-01-21;INC002000000258;7.67898;129;1;2;4;9
2020-01-21;INC002000000264;0.937454;63;2;2;1;10
2020-01-21;INC002000000271;7.62823;39;2;2;1;10
2020-01-21;INC002000000272;8.62545;129;2;2;1;10
2020-01-21;INC002000000273;8.62059;109;2;2;4;9
2020-01-21;INC002000000274;11.6192;108;2;2;1;10
2020-01-21;INC002000000275;7.61781;101;2;2;2;9
2020-01-21;INC002000000276;31.6164;101;2;2;4;9
2020-01-21;INC002000000277;7.61295;101;2;2;4;9
2020-01-21;INC002000000278;7.61087;129;1;2;2;9
2020-01-21;INC002000000279;7.60948;101;2;2;4;9
2020-01-21;INC002000000292;8.5935;108;2;2;4;9
2020-01-21;INC002000000293;8.59211;108;2;2;4;9
2020-01-21;INC002000000294;8.59141;108;2;2;4;9
2020-01-21;INC002000000295;28.5685;101;2;2;4;9
2020-01-16;INC002000000301;14.6375;129;1;2;1;10
2020-01-16;INC002000000302;7.63719;175;1;2;4;10
2020-01-16;INC002000000303;7.6344;175;1;2;1;10
2020-01-16;INC002000000304;18.6153;129;2;1;1;11
2020-01-16;INC002000000306;19.6084;47;2;2;4;10
2020-01-16;INC002000000307;15.6049;129;2;1;1;11
2020-01-16;INC002000000308;8.6017;175;1;2;4;10
2020-01-16;INC002000000309;25.5938;47;1;2;4;10
2020-01-16;INC002000000310;13.5932;47;2;2;4;10
2020-01-16;INC002000000311;7.59255;150;1;2;4;9
2020-01-16;INC002000000313;97.6263;47;2;2;1;10
2020-01-16;INC002000000314;12.5831;175;2;2;4;10
2020-01-16;INC002000000315;11.5823;25;1;2;4;10
2020-01-16;INC002000000317;7.58186;25;2;2;4;9
2020-01-16;INC002000000319;7.5771;101;1;2;4;9
2020-01-16;INC002000000320;21.5741;47;2;2;1;10
2020-01-16;INC002000000322;7.57209;109;1;2;4;9
2020-01-16;INC002000000323;7.56984;154;1;2;1;9
2020-01-16;INC002000000324;9.56752;108;1;2;4;10
2020-01-16;INC002000000326;8.55778;101;1;2;4;9
2020-01-16;INC002000000327;42.5516;162;2;2;2;10
2020-01-16;INC002000000328;13.541;47;2;2;4;10
2020-01-16;INC002000000329;21.5369;68;1;2;4;10
2020-01-16;INC002000000330;21.514;101;1;2;4;10
2020-01-16;INC002000000332;29.4878;28;1;2;1;10
2020-01-16;INC002000000334;7.47954;83;2;2;2;9
2020-01-16;INC002000000335;29.4664;150;2;1;4;11
2020-01-16;INC002000000336;7.4424;175;1;2;4;9
2020-01-16;INC002000000337;7.44208;144;2;2;1;10
2020-01-16;INC002000000338;81.4769;63;1;2;4;10
2020-01-16;INC002000000339;27.4328;47;2;2;1;10
2020-01-16;INC002000000340;14.4141;129;1;2;2;9
2020-01-16;INC002000000341;8.41432;47;2;2;1;9
2020-01-16;INC002000000343;13.3913;41;1;2;4;9
2020-01-16;INC002000000344;14.3779;47;2;2;1;10
2020-01-16;INC002000000346;33.2776;175;2;2;4;9
2020-01-17;INC002000000347;24.7777;175;1;2;4;10
2020-01-17;INC002000000348;7.70498;175;1;2;4;10
2020-01-17;INC002000000351;40.6602;68;2;2;4;9
2020-01-17;INC002000000353;17.647;115;2;2;4;9
2020-01-17;INC002000000354;7.64255;129;2;2;4;9
2020-01-17;INC002000000355;27.6394;129;1;2;4;9
2020-01-17;INC002000000356;0.0306019;29;1;2;4;9
2020-01-17;INC002000000357;0.0126389;66;1;2;4;9
2020-01-17;INC002000000358;7.6239;103;2;2;1;10
2020-01-17;INC002000000359;7.60294;146;1;2;4;10
2020-01-17;INC002000000360;38.6026;175;1;2;4;9
2020-01-17;INC002000000361;32.602;175;1;2;4;9
2020-01-17;INC002000000362;27.6016;175;1;2;4;9
2020-01-17;INC002000000364;24.6;175;1;2;4;9
2020-01-17;INC002000000365;38.5996;175;1;2;4;9
2020-01-17;INC002000000366;24.5983;175;1;2;4;9
2020-01-17;INC002000000367;26.598;175;1;2;4;9
2020-01-17;INC002000000369;10.5791;41;1;2;2;9
2020-01-17;INC002000000371;10.5759;68;2;2;1;10
2020-01-17;INC002000000372;10.5739;41;1;2;2;9
2020-01-17;INC002000000374;10.5635;150;1;1;2;11
2020-01-17;INC002000000375;10.5617;135;1;2;1;9
2020-01-17;INC002000000376;10.5604;129;2;2;4;9
2020-01-17;INC002000000377;62.5375;129;1;2;1;10
2020-01-17;INC002000000379;12.5334;39;2;2;4;10
2020-01-17;INC002000000380;24.8212;63;1;2;4;10
2020-01-17;INC002000000381;7.51704;47;1;2;4;9
2020-01-17;INC002000000382;14.5033;146;1;2;4;10
2020-01-17;INC002000000383;24.4947;47;2;2;1;10
2020-01-17;INC002000000384;11.4762;175;1;2;4;10
2020-01-17;INC002000000385;10.4749;47;2;2;1;10
2020-01-17;INC002000000386;10.47;161;1;2;4;9
